"","pNum","0.5","1","1.5","2"
"1",1,0.547199999999999,0.508379999999998,0.494482666666672,0.446532631578944
"2",2,0.641685916701418,0.570882981988479,0.525409439974636,0.474865553966986
"3",3,0.709942857199356,0.554948965517245,0.527813137165056,0.487864140251455
"4",4,0.737983710655148,0.552666660269043,0.464340296585813,0.47504895833234
"5",5,0.517153312979249,0.433371960784309,0.412104817019298,0.394832655981795
"6",6,0.675598701305879,0.521702884207686,0.480049222489193,0.457128292159334
"7",7,0.87884730769231,0.704244104166662,0.639307306373605,0.59883
"8",8,0.440200113310356,0.387411064692981,0.358666825695805,0.344210609653744
"9",9,0.5388736,0.45172415,0.416690554166667,0.4123878
"10",10,0.613690698032286,0.526039401455098,0.488930434807531,0.464933063242489
"11",11,0.619599612537976,0.569144159464052,0.535361906208982,0.499369750889235
"12",12,0.800924666288565,0.536105950459115,0.477553801955788,0.456720300596629
"13",13,0.687334790377616,0.675155502093264,0.611890174788044,0.57180765833937
"14",14,0.648147977428161,0.598730640106356,0.510623567994939,0.494208255667174
"15",15,0.750021292560169,0.548433076932856,0.475081214746782,0.434792841543848
"16",16,0.526401176470591,0.479106550707137,0.470780749999995,0.441282208589994
"17",17,1.07623509256269,0.5658781099076,0.499921773527906,0.486594710358615
"18",18,0.758188968320442,0.513893563460038,0.494880927302893,0.467439668852225
"19",19,0.467466250000002,0.438639151982239,0.430503101694916,0.405008990945366
